Well,630,663,750
A1,0.027,0.027,0.027
B1,0.027,0.027,0.027
C1,0.061,0.166,0.029
D1,0.061,0.176,0.03
E1,0.036,0.054,0.03
F1,0.036,0.059,0.03
G1,0.029,0.028,0.028
H1,0.029,0.028,0.028
A2,0.034,0.04,0.031
B2,0.034,0.041,0.031
C2,0.035,0.037,0.03
D2,0.036,0.039,0.031
E2,0.031,0.034,0.03
F2,0.033,0.035,0.031
G2,0.029,0.028,0.028
H2,0.029,0.029,0.028
A3,0.046,0.056,0.041
B3,0.038,0.05,0.032
C3,0.044,0.096,0.029
D3,0.049,0.113,0.03
E3,0.028,0.029,0.028
F3,0.029,0.029,0.028
G3,0.028,0.028,0.028
H3,0.029,0.029,0.029
A4,0.04,0.039,0.038
B4,0.029,0.029,0.029
C4,0.029,0.029,0.028
D4,0.03,0.029,0.029
E4,0.029,0.029,0.029
F4,0.03,0.03,0.029
G4,0.029,0.029,0.029
H4,0.03,0.03,0.029
A5,0.031,0.03,0.03
B5,0.03,0.029,0.029
C5,0.029,0.029,0.028
D5,0.03,0.029,0.029
E5,0.029,0.029,0.029
F5,0.03,0.03,0.029
G5,0.029,0.029,0.029
H5,0.03,0.03,0.029
A6,0.052,0.131,0.029
B6,0.061,0.157,0.031
C6,0.076,0.209,0.03
D6,0.082,0.229,0.031
E6,0.054,0.148,0.029
F6,0.057,0.164,0.029
G6,0.028,0.028,0.028
H6,0.029,0.029,0.028
A7,0.055,0.102,0.039
B7,0.05,0.106,0.032
C7,0.037,0.072,0.029
D7,0.04,0.083,0.029
E7,0.03,0.034,0.029
F7,0.033,0.037,0.031
G7,0.029,0.029,0.028
H7,0.028,0.028,0.028
A8,0.066,0.19,0.032
B8,0.073,0.212,0.034
C8,0.038,0.055,0.031
D8,0.038,0.057,0.031
E8,0.044,0.089,0.03
F8,0.045,0.094,0.03
G8,0.028,0.028,0.028
H8,0.029,0.028,0.028
A9,0.03,0.032,0.029
B9,0.03,0.031,0.029
C9,0.029,0.029,0.028
D9,0.028,0.028,0.028
E9,0.029,0.028,0.028
F9,0.029,0.029,0.028
G9,0.029,0.029,0.028
H9,0.028,0.028,0.028
A10,0.03,0.035,0.028
B10,0.031,0.037,0.028
C10,0.03,0.032,0.028
D10,0.033,0.035,0.032
E10,0.04,0.078,0.03
F10,0.044,0.086,0.032
G10,0.028,0.028,0.028
H10,0.029,0.029,0.028
A11,0.029,0.029,0.029
B11,0.029,0.028,0.028
C11,0.03,0.032,0.028
D11,0.033,0.035,0.032
E11,0.04,0.078,0.03
F11,0.044,0.086,0.032
G11,0.029,0.028,0.028
H11,0.029,0.029,0.028
A12,0.032,0.032,0.031
B12,0.029,0.029,0.028
C12,0.028,0.028,0.028
D12,0.028,0.028,0.028
E12,0.029,0.029,0.028
F12,0.029,0.028,0.028
G12,0.029,0.028,0.028
H12,0.029,0.028,0.028
